positive|, | hey there! we've just replied to your dm. we'll carry on chatting there  /c| 
|positive|, |talk to ash wna vomit blood | 
|positive|, |hi guys! i'm inviting everyone to please join in our twitter pay on dec. 17. i'll tweet the mechanics fyi  kathnielminionsatone| 
|positive|, |   ganda mo bunso! ingat ka always  we love you♡♡♡

kisses atgensanbeyondthebay| 
|positive|, | awwwe! we here at joyce meyer ministries love you too! bless your day!  ^diane| 
|positive|, | em sheldon:  URL| 
|positive|, |super ... and superer 😁 URL| 
|positive|, |  twitter own periscope so not happening anytime soon | 
|positive|, |  new video!
pa 3 of my  oakland experience!!
we are giving away an  laptop 

URL | 
|positive|, |touch wood URL| 
|positive|, | poor you  i hope u pass the course with her )| 
|positive|, |had to give somth. to the conspiary theorists | 
|positive|, |  hello team palaspas. ready na ba kau twitter pay samin? this is our tagline for tonight  

mayco alltheway| 
|positive|, | done noona | 
|positive|, |  i love being on tour and seeing all your happy faces  makes me happy &lt;3| 
|positive|, |   merry christmas, meng. love you!  

aldub74thweeksary| 
|positive|, |  loving your creativity! are you excited for 100mania? to win exciting prizes, tun-in to movies now every night @ 9… | 
|positive|, |hello..  cliff moyo † (itiscliff) URL| 
|positive|, |   complete (i think) standee serye.  hope to see a continuation. 

aldub74thweeksary
©to the owner who… | 
|positive|, |  thanks for the s, folks! | 
|positive|, |  running into old friends  URL| 
|positive|, |  URL

gais sapot sikit bisnes saya ni. lets follow and dont forget to turn on post notification ok | 
|positive|, | hello | 
|positive|, |firstalewx "all the weather, all the time" - buresh podcast: what polar voex?!  URL| 
|positive|, |what's your real name URL| 
|positive|, | thank you! | 
|positive|, |  i am now a free agent midlaner, open to eu/na offers, 's are appreciated  contact through dm or louishamet| 
|positive|, |you may have implied weight was measured in grams instead of newtons. did you mean mass? if not, have a nice day  URL| 
|positive|, | haha, i've not played srl yet but know exactly what that is from what i've seen | 
|positive|, | dm me please | 
|positive|, |  things have been insanely busy in the last few months. thank you for being here and sticking with me  it means more…| 
|positive|, |      looks like a great gang | 
|negative|, |  i'm really crying rn dude... i thought i was calling my mom  but i had the wrong number and... URL| 
|negative|, |  let's give this a shot and pls do not peanutin me  URL| 
|negative|, |i cry 😭😭
 my hea it aches 💔
i see uh everywhere 😵
  u r in my hea 💜
   u r in my mind  
        forever| 
|negative|, |really want this jumper 
nier automata URL| 
|negative|, |tanginaaaa my bff is hosting a pay tonight with all the drinks and dj but my driver picked me up early anuna kuya  i said 8:30| 
